GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
151205B	21:43:14	41.190	-43.461	2.3	1.4	0.77	0.16	0.7	0.2
151205A	15:46:00	229.291	35.767	1.3	62.8	14	1	0.6	0.1
151127A	09:08:49	19.664	-82.762	2.8	0.19	0.23	0.06	0.4	0.1
#	151122A	17:00:40	299.704	-19.899	3	n/a	n/a	n/a	n/a	n/a
151118A	03:06:30	57.169	65.889	1.4	23.4	4.5	0.6	1.2	0.1
151114A	09:59:34	120.947	-61.033	1.8	4.86	3.7	0.6	2.9	0.4
151112A	13:44:48	2.050	-61.680	2.6	19.32	9.4	1.2	1.9	0.2
151111A	08:33:23	56.850	-44.154	1.0	76.93	17	1	1.0	0.1
#	151107A	17:19:36	217.139	-59.680	2.7	n/a	n/a	n/a	n/a	n/a
151031A	05:50:30	83.189	-39.125	1.3	5.00	3.2	0.3	1.7	0.2
151029A	07:49:39	38.537	-35.356	1.8	8.95	3.9	0.6	1.8	0.3
#	151027B	22:40:40	76.188	-6.428	2.4	80.00	15	3	n/a	n/a
151027A	03:58:24	272.498	61.361	1.1	129.69	78	2	6.8	0.6
151023A	13:43:04	271.012	-8.289	1.8	10.66	2.6	0.4	1.1	0.2
151022A	14:06:32	349.223	55.812	2.3	116.7	11	2	0.8	0.2
151021A	01:29:12	337.647	-33.189	1.0	110.2	280	10	9.7	0.8
151006A	09:55:01	147.426	70.508	1.0	203.9	69	2	2.6	0.2
151004A	18:09:04	213.613	-64.956	2.3	128.40	10	1	0.4	0.1
151001B	18:29:36	336.974	64.637	2.1	109	14	2	0.5	0.3
151001A	15:04:22	233.722	10.984	1.1	8.94	6.7	0.5	1.3	0.2
150925A	04:09:28	227.538	-19.640	2.0	121	14	2	0.6	0.2
150915A	21:18:24	319.675	-34.874	2.3	164.7	8.0	1.8	0.5	0.2
150911A	18:40:21	67.428	5.731	1.0	7.2	21	1	5.2	0.3
150910A	09:04:48	5.677	33.466	2.3	112.2	48	4	1.1	0.4
150907B	23:26:27	255.265	-63.798	1.8	62.0	11	2	1.0	0.2
#	150901A	15:26:35	183.609	25.076	2.7	64.0	4.5	1.3	n/a	n/a
150831B	22:19:27	271.030	-27.243	2.0	6.2	14	2	6.1	1.1
150831A	10:34:12	221.034	-25.619	1.3	1.15	3.8	0.3	3.4	0.3
#	150821A	09:44:00	341.913	-57.883	1.7	172.1	7.9	1.9	n/a	n/a
150819A	00:50:08	42.340	9.787	2.8	52.1	4.8	0.9	0.3	0.1
150818A	11:36:32	230.340	68.342	1.1	123.3	41	2	2.4	0.3
150817A	02:05:13	249.635	-12.050	1.0	38.8	59	1	9.6	0.3
150811A	04:06:09	291.347	-15.434	1.9	34.00	4.9	0.8	0.5	0.2
150801B	22:41:48	82.961	-5.374	1.4	426	31	2	2.5	0.2
150728A	12:51:11	292.271	33.906	2.6	0.83	0.33	0.1	0.5	0.1
150727A	19:02:02	203.968	-18.320	1.0	88	37	2	1.0	0.2
150724A	05:46:35	97.549	-19.147	1.9	280	22	2	0.9	0.2
150722A	09:57:53	218.297	-35.196	2.8	67	6.1	0.9	0.4	0.1
150720A	14:02:09	119.577	-28.281	1.5	151	5.6	1.0	0.3	0.1
150716A	07:06:43	278.481	-12.978	1.1	44	15	1	0.8	0.1
150711A	18:23:03	221.624	-35.464	1.0	64.2	43	2	3.8	0.4
150710B	08:05:35	83.191	-46.960	1.2	15	3.5	0.1	8.3	0.3
150710A	00:28:02	194.484	14.309	1.5	0.15	0.71	0.09	0.7	0.1
150626B	20:22:52	187.627	66.794	1.9	48.0	10	1	0.6	0.2
150626A	02:12:49	111.353	-37.803	1.9	144	18	2	0.4	0.3
150616A	22:49:19	314.713	-53.403	1.2	599.5	190	10	2.9	0.4
150615A	04:42:27	107.554	-22.466	1.8	27.6	5.5	0.7	0.6	0.2
150607A	07:55:09	140.015	68.436	1.2	26.3	23	2	4.9	0.5
#	150530B	13:28:38	7.496	44.290	3	n/a	1.25	0.2	n/a	n/a
150530A	11:42:18	327.511	57.519	1.2	6.62	18	1	4.1	0.6
150527A	06:48:55	288.962	4.195	1.0	112	31	2	0.3	0.2
150513A	20:31:19	49.044	-22.868	1.0	162	54	2	2.9	0.3
150430A	00:21:28	326.481	-27.919	1.6	107.1	69	5	5.0	1.0
150428B	03:12:03	292.661	4.114	1.3	130.9	37	3	1.4	0.3
150428A	01:30:40	188.539	6.967	1.2	53.2	63	3	3.0	0.5
150424A	07:42:57	152.305	-26.646	1.0	91	15	1	12.0	0.4
150423A	06:28:04	221.601	12.264	1.9	0.22	0.63	0.10	0.9	0.1
150413A	13:54:58	190.396	71.839	1.9	263.6	43	4	1.6	0.3
#	150407A	00:31:10	216.603	38.541	3	n/a	n/a	n/a	n/a	n/a
150403A	21:54:16	311.505	-62.706	1.0	40.90	170	3	17.6	-.6
#	150402A	00:37:46	173.658	40.992	2.5	14	n/a	n/a	n/a	n/a
150323C	17:05:21	192.625	50.165	2.4	159.4	13	3	1.1	0.3
#	150323B	09:28:38	260.447	38.316	1.5	~60	n/a	n/a	n/a	n/a
150323A	02:49:14	128.173	45.442	2.07	149.6	61	2	5.4	0.3
150318A	07:04:53	324.990	-61.461	1.2	83.88	25	2	1.1	0.2
150317A	04:22:42	138.995	55.477	1.7	23.29	6.5	0.6	1.2	0.2
150314A	04:55:16	126.661	63.839	1.0	14.79	220	3	38.5	0.9
150309A	23:03:06	277.004	86.417	1.9	242	170	0	9.0	0.3
150302A	05:42:36	175.515	36.852	2.8	23.74	2.6	0.6	0.4	0.1
150301B	19:38:04	89.159	-57.969	1.0	12.44	18	1	3.0	0.2
150301A	01:04:28	244.281	-48.732	1.9	0.48	0.74	0.10	1.0	0.2
150222A	16:56:40	198.787	-12.151	1.0	15.90	22	1	4.7	0.3
150213B	22:31:30	253.448	34.165	1.8	181	30	4	1.1	0.4
150212A	10:57:19	285.497	47.389	1.2	11.4	8.9	0.6	1.9	0.2
#	150211A	11:52:11	254.846	55.390	1.0	13.6	n/a	n/a	n/a	n/a
150206A	14:30:02	10.076	-63.181	1.0	83.2	139	3	10.1	0.4
150204A	06:31:08	160.241	-64.043	1.5	12	8.0	0.4	1.85	0.12
150203A	04:09:07	98.394	6.952	1.1	25.8	9.1	0.6	0.9	0.1
150202A	23:10:02	39.261	-33.132	1.7	25.7	6.1	0.7	1.0	0.2
