GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
091208A	08:46:00	0.295	65.680	1.1	29.1	15	1	1.8	0.2
091130B	17:59:04	203.149	34.086	1.3	112.5	13	1	1.1	0.2
091127	23:25:45	36.581	-18.948	1.2	7.1	90	3	46.5	2.7
091112	17:41:21	257.751	-36.729	1.5	17	21	4	1.9	0.5
091109B	21:49:03	112.750	-54.092	1.2	0.3	1.9	0.2	5.4	0.4
091109A	04:57:43	309.252	-44.177	2.1	48	16	2	1.3	0.4
091104	08:49:22	208.723	47.391	2.6	99.3	7.7	1.2	0.4	0.1
091102	14:34:38	72.622	-72.527	1.2	6.6	5.2	0.4	1.4	0.2
091029	03:53:22	60.166	-55.954	1.0	39.2	24	1	1.8	0.1
091026	13:11:30	276.657	-86.113	1.1	41.6	18	1	2.2	0.3
091024	08:56:01	339.240	56.885	1.0	109.8	61	3	2.0	0.3
091020	21:36:44	175.727	50.977	1.0	34.6	37	1	4.2	0.3
091018	20:48:19	32.191	-57.546	1.0	4.4	14	1	10.3	0.4
090929B	10:09:07	117.712	-0.645	1.4	360	59	3	3.3	0.2
090927	10:07:16	343.929	-70.973	1.6	2.2	2.0	0.3	2.0	0.2
090926B	21:55:48	46.310	-38.997	1.0	109.7	73	2	3.2	0.3
090916	07:00:44	126.582	25.941	2.7	63.4	9.5	1.8	1.9	0.3
090915	15:35:36	237.990	15.480	3	8	5	2	0.8	0.3
090912	15:50:29	188.046	61.475	1.2	144.0	45	3	1.0	0.1
090904B	01:24:18	264.194	-25.219	1.2	47.0	110	0	5.3	0.9
090904A	01:01:06	100.855	50.235	3.0	122	30	2	1.9	0.2
090831C	21:30:25	108.294	-25.112	2.1	3.3	1.5	0.3	0.5	0.1
#	090827	19:06:26	18.435	-50.899	2.8	n/a	40	20	n/a	n/a
090815C	23:21:39	64.490	-65.943	2.7	0.6	0.44	0.12	0.6	0.2
090814A	00:52:19	239.613	25.586	2.0	80	13	2	0.6	0.2
090813	04:10:43	225.065	88.571	1.3	7.1	13	1	8.5	0.6
090812	06:02:08	353.20	-10.609	1.0	66.7	58	2	3.6	0.2
090809	17:31:14	328.665	-0.083	2.0	5.4	3.4	0.5	1.1	0.2
090807	15:00:27	273.741	10.279	1.8	140.8	22	2	0.7	0.2
090728	14:45:45	29.644	41.632	1.9	59	10	2	1.0	0.3
090727	22:42:18	315.917	64.937	2.2	302	14	2	0.5	0.1
090726	22:42:27	248.681	72.866	1.7	67.0	8.6	1.0	0.7	0.2
#	090720	06:38:08	203.694	-10.335	3	n/a	n/a	n/a	n/a	n/a
090715B	21:03:14	251.337	44.837	1.0	266	57	2	3.8	0.2
090715A	17:25:39	152.102	10.006	2.4	63	9.8	2.2	3.9	0.5
090712	03:51:05	70.097	22.525	1.6	145	40	3	0.9	0.2
090709B	15:07:42	93.522	64.081	1.8	27.2	15	2	2.1	0.4
090709A	07:38:34	289.944	60.728	1.0	89	257	3	7.8	0.3
090708	03:38:15	154.632	26.616	1.7	15.0	6.9	1.0	1.3	0.3
090628	21:20:12	237.038	-15.969	1.7	20.1	7.0	0.8	1.5	0.2
090621B	22:07:25	313.455	69.034	1.7	0.14	0.70	0.10	3.9	0.5
#	090621A	04:22:43	10.987	61.938	1.7	n/a	n/a	n/a	n/a	n/a
090618	08:28:29	294.008	78.352	0.46	113.2	1050	10	38.9	0.8
090607	05:30:17	191.194	44.108	1.9	2.3	1.1	0.2	0.7	0.1
090531B	18:35:56	252.070	-36.015	2.1	80	7.1	0.9	1.25	0.1
090531A	01:45:17	178.672	7.824	1.1	32	13	1	1.3	0.2
090530	03:18:18	179.400	26.590	1.9	48	11	1	2.5	0.3
#	090529	14:12:35	212.446	24.450	2.0	>100	6.8	1.7	0.4	0.1
#	090520	01:37:16	11.613	-8.000	3	20	3.4	0.5	n/a	n/a
090519	21:08:56	142.317	0.190	2.0	64	12	1	0.6	0.2
090518	01:54:44	119.957	0.778	1.2	6.9	4.7	0.4	2.4	0.2
090516A	08:27:50	138.246	-11.848	1.5	210	90	6	1.6	0.2
090515	04:45:09	164.166	14.469	2.1	0.036	0.2	0.03	5.7	0.9
090510	00:23:00	333.552	-26.598	1.7	0.3	3.4	0.4	9.7	1.1
090509	05:10:03	241.422	-28.385	2.1	335	33	4	1.5	0.3
090429B	05:30:03	210.672	32.167	1.3	5.5	3.1	0.3	1.6	0.2
090429A	04:53:39	90.573	-52.389	1.7	188	10	2	0.6	0.1
090426	12:48:47	189.082	32.978	1.7	1.2	1.8	0.3	2.4	0.3
090424	14:12:09	189.531	16.829	1.0	48	210	0.0	71.0	2.0
090423	07:55:19	148.891	18.165	1.1	10.3	5.9	0.4	1.7	0.2
090422	03:35:16	294.746	40.398	2.0	8.5	2.3	0.4	1.7	0.2
090419	13:43:31	197.006	-75.615	2.1	450	25	2	0.4	0.1
#	090418B	08:59:02	225.910	17.224	1.91	65.0	160	n/a	n/a	n/a
090418A	11:07:40	269.320	33.407	1.4	56	46	2	1.9	0.3
#	090417B	15:20:03	209.687	47.015	~1	>260	23	2	0.3	0.1
090417A	13:17:23	34.993	-7.141	2.8	0.072	0.19	0.05	3.6	1.0
090410	16:57:52	334.956	15.419	1.8	165	56	2	1.9	0.1
090407	10:28:25	68.979	-12.684	2.2	310	11	2	0.6	0.1
090404	15:56:30	239.233	35.518	1.0	84	30	1	1.9	0.2
090401B	08:35:25	95.095	-8.963	1.0	183	100	0	23.1	0.5
090401A	00:00:59	350.920	29.762	1.0	112	110	0	10.9	0.5
090313	09:06:27	198.400	8.086	2.2	79	14	2	0.8	0.3
090309A	23:29:13	284.978	-25.274	2.3	3.0	1.3	0.3	0.9	0.2
090308A	18:01:23	183.545	-48.754	3.4	48	2.6	0.6	0.1	0.0
090307A	03:46:37	245.007	-28.647	3.3	22	2.6	0.6	0.2	0.1
#	090306B	23:07:02	231.204	-6.958	2.87	20.4	31	n/a	2.5	n/a
090305A	05:19:51	241.764	-31.572	2.3	0.4	0.75	0.13	1.9	0.4
090301A	06:55:55	338.142	26.639	1.0	41.0	230	3	18.7	0.6
090205	23:03:14	220.917	-27.848	2.0	8.8	1.9	0.3	0.5	0.1
090201	17:47:02	92.051	-46.604	1.0	83	300	10	14.7	1.0
090129	21:07:15	269.105	-32.793	1.0	17.5	21	1	3.7	0.2
090123	07:51:56	6.794	-23.503	1.5	131	29	2	1.7	0.3
#	090118	13:54:02	49.865	18.478	3.69	16	4.0	n/a	n/a	n/a
090113	18:40:39	32.067	33.436	1.0	9.1	7.6	0.4	2.5	0.2
090111	23:58:21	251.656	0.067	1.4	24.8	6.2	0.6	0.9	0.2
090107A	04:48:04	302.409	4.744	2.4	12.2	2.3	0.5	1.1	0.2
090102	02:55:45	128.248	33.107	1.4	27.0	0.68	0.03	5.5	0.8
081230	20:36:12	37.330	-25.145	1.4	60.7	8.2	0.8	0.7	0.1
081228	01:17:40	39.477	30.833	2.3	3.0	0.89	0.18	0.6	0.1
081226A	01:03:37	120.478	-69.014	2.1	0.4	0.99	0.18	2.4	0.4
081222	04:53:59	22.748	-34.095	1.0	24	48	1	7.7	0.2
081221	16:21:11	15.801	-24.542	1.0	34	181	3	18.2	0.5
#	081211B	06:15:02	168.231	53.845	3.04	n/a	6.1	n/a	n/a	n/a
081211A	11:48:10	328.082	-33.818	2.3	3.5	1.3	0.3	0.8	0.2
081210	20:19:34	70.485	-11.263	1.0	146	18	2	2.5	0.2
#	081203B	13:57:11	228.789	44.427	3.04	23.4	21	n/a	n/a	n/a
081203A	13:57:11	233.071	63.514	1.1	294	77	3	2.9	0.2
081128	17:18:44	20.800	38.123	1.0	100	23	2	1.3	0.2
081127	07:05:08	332.075	6.858	2.4	37	4.9	1.0	0.6	0.2
081126	21:34:10	323.526	48.714	1.0	54	33	1	3.7	0.2
081121	20:35:32	89.282	-60.612	1.4	14	41	3	4.4	1.0
081118	14:56:36	82.572	-43.305	1.6	67	12	1	0.6	0.2
081109A	07:02:06	330.798	-54.711	1.0	190	36	2	1.1	0.0
081104	09:34:42	100.500	-54.722	1.3	59.1	20	2	1.0	0.3
081102	17:44:39	331.178	52.991	1.1	63	23	2	1.4	0.3
081101	11:46:31	95.836	-0.112	1.7	0.20	0.62	0.10	3.6	0.5
081029	01:43:56	346.776	-68.179	2.2	270	21	2	0.5	0.2
081028A	00:25:00	121.893	2.305	1.2	260	37	2	0.5	0.1
081025	08:22:02	245.298	60.466	2.87	23	19	2	1.3	0.2
081024A	05:53:00	27.891	61.352	1.7	1.8	1.2	0.2	1.1	0.1
081022	14:23:48	226.584	12.409	1.4	160	25	2	0.6	0.1
081017	23:38:12	230.209	-32.790	2.3	320	14	2	0.07	0.01
081016B	19:47:14	14.582	-43.536	2.3	2.6	0.99	0.18	0.5	0.1
081012	13:10:23	30.184	-17.627	1.8	29	11	1	1.0	0.2
081011	00:28:50	220.363	33.548	2.3	9	1.6	0.3	0.4	0.1
081008	19:58:09	279.968	-57.433	1.1	185.5	43	2	1.3	0.1
081007	05:23:52	339.963	-40.146	1.5	10.0	7.1	0.8	2.6	0.4
080928	15:01:32	95.061	-55.176	2.3	280	25	2	2.1	0.1
080919	00:05:13	265.221	-42.375	1.9	0.6	0.72	0.11	1.2	0.2
080916B	14:44:47	163.632	69.061	2.1	32	6.3	0.9	0.6	0.2
080916A	09:45:20	336.289	-57.026	1.0	60	40	1	2.7	0.2
080915B	15:53:35	213.088	-11.491	1.0	3.9	9.9	0.6	8.5	0.3
080915A	00:02:49	17.911	-76.042	2.4	14	2.3	0.5	0.5	0.1
080913	06:46:54	65.741	-25.127	1.5	8	5.6	0.6	1.4	0.2
080906	13:33:16	228.055	-80.540	1.7	147	35	2	1.0	0.2
080905B	16:55:45	301.746	-62.568	1.9	128	18	2	0.5	0.1
080905A	11:58:54	287.663	-18.865	2.1	1.0	1.4	0.2	1.3	0.2
080903	01:12:23	86.790	51.256	1.0	66	14	1	0.8	0.1
080822B	21:02:52	63.560	25.760	3.6	64	1.7	0.6	0.06	0.02
080810	13:10:12	356.783	0.310	1.2	106	46	2	2.0	0.2
080805	07:41:34	314.231	-62.433	1.0	78	25	1	1.1	0.1
080804	23:20:14	328.675	-53.189	1.2	34	36	2	3.1	0.4
080802	15:12:21	270.729	-32.329	1.6	176	13	2	0.3	0.0
080727C	23:07:35	32.638	64.130	1.0	79.7	52	2	2.3	0.2
080727B	08:13:24	276.871	1.173	1.0	8.6	31	1	7.6	0.2
080727A	05:57:39	208.416	-18.572	2.4	4.9	1.3	0.3	0.3	0.2
080725	10:26:14	121.699	-13.984	1.3	120	37	2	2.3	0.3
080723A	04:19:24	274.461	-6.910	1.6	17.3	3.3	0.4	0.9	0.1
080721	10:25:16	224.481	-11.709	1.3	16.2	120	10	20.9	1.8
080714	17:52:56	188.104	-60.274	1.0	33	25	1	4.2	0.3
080710	07:13:10	8.259	19.484	2.3	120	14	2	1.0	0.2
080707	08:27:53	32.627	33.100	1.8	27.1	5.2	0.6	1.0	0.1
080703	19:00:13	101.822	-63.211	2.2	3.4	2.0	0.3	1.0	0.2
080702B	01:10:41	355.616	-5.424	3.5	20	5.0	0.9	0.5	0.1
080702A	11:50:43	313.049	72.278	3.0	0.5	0.36	0.10	0.7	0.2
080701	10:13:37	45.944	75.481	1.4	18	7.1	0.7	2.2	0.2
080623	10:25:28	237.667	-62.044	1.4	15.2	10	1	2.0	0.3
080613B	11:12:37	173.806	-7.102	1.0	105	58	2	2.7	0.2
080607	06:07:27	194.964	15.910	1.0	79	240	0.0	23.1	1.1
080605	23:47:57	262.130	4.010	1.0	20	133	2	19.9	0.6
080604	07:27:01	236.960	20.557	2.0	82	8.0	0.9	0.4	0.1
080603B	19:38:13	176.554	68.061	1.0	60	24	1	3.5	0.2
080602	01:30:28	19.177	-9.239	1.7	74	32	2	2.9	0.2
080524	04:13:00	268.449	80.143	2.5	9	2.9	0.5	0.4	0.2
080523	21:21:51	20.769	-64.060	1.7	102	8.8	1.0	0.5	0.1
080520	22:20:24	280.179	-54.964	2.4	2.8	0.55	0.17	0.5	0.1
080517	21:22:51	102.274	50.741	2.4	64.6	5.6	1.2	0.6	0.2
080516	00:17:07	120.661	-26.146	2.1	5.8	2.6	0.4	1.8	0.3
080515	06:01:13	3.166	32.564	1.6	21	20	3	3.9	0.7
080506	17:46:21	329.467	38.961	2.5	150	13	2	0.4	0.1
080503	12:26:13	286.686	68.803	3.5	170	20	1	0.9	0.1
080430	19:53:02	165.331	51.682	1.0	16.2	12	1	2.6	0.2
080426	13:23:22	26.510	69.469	1.1	1.7	3.7	0.3	4.8	0.3
080413B	08:51:12	326.138	-19.981	1.0	8.0	32	1	18.7	0.8
080413A	02:54:19	287.301	-27.677	1.0	46	35	1	5.6	0.2
080411	21:15:32	37.961	-71.297	1.0	56	264	1	43.2	0.9
080409	01:22:57	84.304	5.078	2.0	20.2	6.1	0.7	3.7	0.3
080330	03:41:16	169.278	30.607	1.8	61	3.4	0.8	0.9	0.2
080328	08:03:04	80.490	47.523	1.0	90.6	94	2	5.5	0.3
080325	04:09:17	277.906	36.516	2.0	128.4	49	4	1.4	0.6
080320	04:37:38	177.763	57.162	1.8	14	2.7	0.4	0.6	0.1
080319D	17:05:09	99.479	23.982	2.6	24	3.2	0.7	0.1	0.1
080319C	12:25:56	259.006	55.393	1.0	34	36	1	5.2	0.3
#	080319B	06:12:49	217.919	36.300	1.0	>50	810	10	24.8	0.5
080319A	05:45:42	206.352	44.080	1.7	64	48	4	1.2	0.2
080315	02:25:01	155.124	41.701	3.3	65	1.4	0.5	0.04	0.01
080310	08:37:58	220.040	-0.164	1.4	365	23	2	1.3	0.2
080307	11:23:30	136.629	35.151	1.6	125.9	8.7	1.2	0.4	0.1
080303	09:10:35	112.019	-70.231	1.6	67	6.6	1.0	1.4	0.2
080229A	17:04:59	228.220	-14.697	1.5	64	90	2	5.7	0.2
080218B	23:57:47	177.927	-53.086	2.0	6.2	5.1	1.0	3.1	0.6
080218A	20:08:42	355.941	12.159	2.5	27.6	6.3	1.4	1.4	0.4
080212	17:34:33	231.145	-22.739	1.5	123	29	3	1.2	0.3
080210	07:50:05	251.259	13.826	1.1	45	18	1	1.6	0.2
080207	21:30:21	207.514	7.492	1.2	340	61	2	1.0	0.3
080205	07:55:51	98.261	62.782	1.5	106.5	21	1	1.4	0.2
080130	11:13:59	261.632	-53.190	2.8	65	7.7	2.8	0.2	0.1
080129	06:06:45	105.297	-7.840	2.4	48	8.9	1.4	0.2	0.1
080123	04:21:57	338.974	-64.930	4.1	115	5.7	1.7	1.8	0.4
#	080121	21:29:55	137.235	41.841	3	0.7	0.3	0.2	n/a	n/a
071227	20:13:47	58.132	-55.959	1.7	1.8	2.2	0.3	1.6	0.2
071129	00:03:55	220.039	-26.667	2.2	420	35	3	0.9	0.2
071122	01:23:25	276.576	47.102	2.3	68.7	5.8	1.1	0.4	0.2
071118	08:57:17	299.839	70.130	2.7	71	5.0	1.0	0.3	0.1
071117	14:50:06	335.026	-63.442	1.0	6.6	24	1	11.3	0.4
071112C	18:32:57	39.218	28.368	1.0	15	30	4	8	1
071112B	18:23:31	260.213	-80.884	2.2	0.30	0.48	0.09	1.3	0.3
071101	17:53:46	48.179	62.524	2.7	9.0	0.76	0.26	0.4	0.1
071031	01:06:36	6.399	-58.048	2.1	180	9.0	1.3	0.5	0.1
071028B	02:43:46	354.163	-31.630	3	55	2.5	0.8	1.4	0.5
071028A	17:41:01	119.828	21.473	2.2	27.0	3.0	0.5	0.3	0.1
071025	04:08:54	355.065	31.784	1.3	109	65	2	1.6	0.2
071021	09:41:33	340.573	23.764	3.4	225	13	2	0.7	0.1
071020	07:02:26	119.666	32.857	1.0	4.2	23	1	8.4	0.3
071018	08:37:41	164.685	53.822	2.1	376.0	10	2	0.2	0.1
071013	12:09:19	279.501	33.846	2.5	26	3.2	0.7	0.4	0.2
071011	12:40:13	8.395	61.132	1.3	61	0.22	0.02	1.7	0.3
#	071010C	22:20:22	338.054	66.159	TBD	TBD	TBD	TBD	TBD	TBD
#	071010B	20:45:47	150.531	45.733	1.0	>35.7	44	1	7.7	0.3
071010A	03:41:12	288.040	-32.385	2.5	6	2.0	0.4	0.8	0.3
071008	21:55:56	151.571	44.303	2.0	18	2.4	0.4	0.5	0.1
071006	06:41:40	335.294	-23.147	1.9	50	1.4	0.2	13	3
071003	07:40:55	301.857	10.954	1.0	150	83	3	6.3	0.4
071001	16:31:48	149.707	-59.763	2	58.5	7.7	0.8	0.9	0.1
070923	19:15:23	184.623	-38.294	2.1	0.05	0.5	0.09	2.4	0.4
070920B	21:04:32	0.127	-34.844	1	20.2	6.6	0.5	0.8	0.1
070920A	04:00:13	100.968	72.250	2.1	56	5.1	0.7	0.3	0.1
070917	07:33:56	293.923	2.420	1.0	7.3	20	1	8.5	0.3
070913	00:36:43	228.737	-24.278	1.7	3.2	2.5	0.3	1.4	0.2
070911	05:57:44	25.819	-33.484	1.5	162	120	2	3.9	0.2
070810B	15:19:17	8.952	8.822	2.5	0.08	0.12	0.03	1.8	0.4
070810A	02:11:52	189.947	10.747	1.3	11.0	6.9	0.6	1.9	0.2
070809	19:22:17	203.767	-22.119	1.7	1.3	1.0	0.1	1.2	0.2
070808	18:28:00	6.761	1.180	1.2	32	12	1	2.0	0.2
070805	19:55:45	245.057	-59.957	1.5	31.0	7.2	0.8	0.7	0.2
070802	07:07:25	36.903	-55.517	2.0	16.4	2.8	0.5	0.4	0.1
070731	09:33:22	328.581	-15.740	1.9	2.9	1.6	0.3	1.2	0.2
070729	00:25:53	56.296	-39.330	2.2	0.9	1.0	0.2	1.0	0.2
070724A	10:53:50	27.824	-18.610	1.2	0.4	0.3	0.07	1.0	0.2
070721B	10:33:48	33.128	-2.198	1.2	340	36	2	1.5	0.3
070721A	10:01:08	3.144	-28.530	2.3	3.4	0.71	0.18	0.7	0.1
070714B	04:59:29	57.853	28.294	1.4	64	7.2	0.9	2.7	0.2
070714A	03:20:31	42.933	30.241	1.3	2.0	1.5	0.2	1.8	0.2
070704	20:05:57	354.707	66.257	1.6	380	59	3	2.1	0.2
070628	14:41:02	115.271	-20.281	1.3	39.1	35	2	5.1	0.3
070621	23:17:39	323.806	-24.809	1.0	33.3	43	1.0	2.5	0.3
070616	16:29:34	32.096	56.946	2.6	402.400	192.00	3.47	1.93	0.14
070612B	06:21:18	261.716	-8.747	1.1	13.500	16.80	1.16	2.47	0.39
070612A	02:38:46	121.355	37.258	1.4	368.800	106.00	6.01	1.51	0.38
070611	01:57:14	2.004	-29.756	1.9	12.200	3.91	0.57	0.82	0.21
070531	02:10:18	6.714	74.315	1.7	44.500	10.80	1.27	1.00	0.22
070529	12:48:28	283.717	20.648	1.7	109.200	25.70	2.45	1.43	0.36
070521	06:51:11	242.659	30.260	1.1	37.900	80.10	1.77	6.53	0.27
070520B	17:44:53	121.886	57.588	1.8	65.800	9.25	1.09	0.43	0.14
070520A	13:05:10	193.255	75.005	2.2	18.100	2.50	0.54	0.44	0.15
070518	14:26:21	254.219	55.289	1.8	5.500	1.62	0.24	0.68	0.13
070517	11:20:58	277.556	-62.305	1.9	7.600	2.15	0.35	0.95	0.17
070509	02:48:27	237.874	-78.657	1.7	7.700	1.75	0.25	0.68	0.12
070508	04:18:18	312.832	-78.382	1.0	20.900	196.00	2.73	24.10	0.61
070506	05:35:58	347.203	10.711	1.9	4.300	2.10	0.23	0.96	0.13
070429B	03:09:04	328.006	-38.857	1.8	0.470	0.63	0.10	1.76	0.24
070429A	01:35:10	297.695	-32.420	2.5	163.300	9.10	1.43	0.41	0.15
070427	08:31:09	28.871	-27.603	1.0	11.100	7.20	0.36	1.34	0.13
070420	06:18:14	121.245	-45.564	1.0	76.500	140.00	4.48	7.12	0.76
070419B	10:44:06	315.709	-31.266	1.0	236.400	73.60	1.95	1.38	0.17
070419A	09:59:26	182.755	39.903	2.3	115.600	5.58	0.83	0.20	0.10
070412	01:27:03	181.525	40.133	1.5	33.800	4.84	0.66	0.66	0.12
070411	20:12:33	107.342	1.061	1.5	121.500	27.00	1.55	0.91	0.13
070406	00:50:39	198.956	16.530	3.3	1.200	0.36	0.12	0.37	0.11
070330	22:51:31	269.533	-63.799	1.9	9.000	1.83	0.31	0.88	0.14
070328	03:53:53	65.113	-34.079	1.0	75.300	90.60	1.79	4.22	0.24
#	070326	16:29:12	40.337	-66.989	n/a	n/a	3.45	n/a	n/a	n/a
070318	07:28:56	48.486	-42.950	1.0	74.600	24.80	1.12	1.76	0.15
070306	16:41:28	148.154	10.440	2.7	209.500	53.80	2.86	4.07	0.21
070227	22:21:59	120.578	-46.302	2.3	7	16.20	2.49	4.62	1.27
070224	20:27:58	178.988	-13.355	2.0	34.500	3.05	0.51	0.34	0.11
070223	01:15:01	153.453	43.132	1.2	88.500	17.00	1.20	0.69	0.15
070220	04:44:33	34.800	68.800	1.0	129.000	104.00	2.33	5.88	0.29
070219	01:10:16	260.220	69.345	1.9	16.600	3.19	0.44	0.67	0.13
070209	03:33:42	46.213	-47.376	2.8	0.090	0.22	0.05	0.38	0.13
070208	09:10:34	197.891	61.942	3.6	47.700	4.45	1.01	0.90	0.22
070129	23:35:10	36.995	11.728	2.7	460.600	29.80	2.67	0.55	0.12
#	070126	02:33:26	33.503	-73.553	3.7	51	1.63	0.62	n/a	n/a
070110	07:22:42	0.934	-52.978	1.1	88.400	16.20	1.08	0.60	0.12
070107	12:05:18	159.422	-53.202	1.1	347.300	51.70	2.64	1.97	0.23
070103	20:46:39	352.581	26.823	2.7	18.600	3.38	0.46	1.04	0.15
061222B	04:11:02	105.353	-25.866	1.2	40.000	22.40	1.83	1.59	0.36
061222A	03:28:52	358.254	46.524	1.2	71.400	79.90	1.58	8.53	0.26
061218	04:05:06	149.260	-35.217	3.5	6.500	0.41	0.15	0.26	0.12
061217	03:40:08	160.403	-21.152	2.2	0.210	0.42	0.07	1.49	0.24
061210	12:20:39	144.521	15.613	2.3	85.300	11.10	1.76	5.31	0.47
061202	08:11:45	105.255	-74.602	4.0	91.200	34.20	1.33	2.51	0.17
061201	15:58:37	332.079	-74.568	1.2	0.760	3.34	0.27	3.86	0.31
061126	08:47:56	86.615	64.204	1.0	70.800	67.70	2.21	9.76	0.38
061121	15:22:29	147.228	-13.188	1.0	81.300	137.00	1.99	21.10	0.46
061110B	21:58:46	323.912	6.872	1.6	134.000	13.30	1.21	0.45	0.11
061110A	11:47:21	336.284	-2.252	1.1	40.700	10.60	0.76	0.53	0.12
061102	01:00:31	148.394	-17.022	2.6	45.600	2.79	0.67	0.23	0.05
061028	01:26:22	97.193	46.290	2.5	106.200	9.66	1.72	0.65	0.19
#	061027	10:15:02	270.992	-82.239	3.7	150	2.97	0.93	n/a	n/a
061021	15:39:08	145.146	-21.953	1.0	46.200	29.60	1.01	6.11	0.27
061019	04:19:07	91.675	29.527	3.1	183.800	25.90	4.05	2.12	0.44
061007	10:08:09	46.299	-50.496	1.0	75.300	444.00	5.62	14.60	0.37
061006	16:45:51	110.998	-79.195	1.8	129.900	14.20	1.42	5.24	0.21
061004	19:50:31	97.795	-45.903	1.0	6.200	5.66	0.31	2.54	0.16
061002	01:03:30	220.356	48.726	1.7	17.600	6.77	0.81	0.81	0.26
060929	19:55:01	263.148	29.825	2.8	554.000	8.30	2.30	0.42	0.13
060927	14:07:35	329.547	5.370	1.0	22.500	11.30	0.68	2.70	0.17
060926	16:48:42	263.926	13.039	1.4	8.000	2.19	0.25	1.09	0.14
060923C	13:33:03	346.122	3.943	2.1	75.800	15.80	2.24	0.96	0.36
060923B	11:38:06	238.193	-30.907	1.6	8.600	4.80	0.62	1.52	0.33
060923A	05:12:15	254.623	12.341	2.1	51.700	8.69	1.33	1.32	0.26
060919	07:48:39	276.900	-50.994	1.6	9.100	5.46	0.64	2.12	0.30
060912A	13:55:54	5.285	20.971	1.0	5.000	13.50	0.62	8.58	0.44
060908	08:57:22	31.828	0.335	1.1	19.300	28.00	1.11	3.03	0.25
060906	08:32:47	40.709	30.362	2.5	43.500	22.10	1.36	1.97	0.28
060904B	02:31:04	58.218	-0.729	1.0	171.500	16.20	1.43	2.44	0.21
060904A	01:03:21	237.731	44.984	1.5	80.100	77.20	1.51	4.87	0.20
060825	02:59:58	18.132	55.796	1.0	8.000	9.63	0.48	2.66	0.17
060814	23:02:19	221.338	20.591	1.0	145.300	146.00	2.39	7.27	0.29
060813	22:50:23	111.890	-29.844	1.0	16.100	54.60	1.40	8.84	0.39
060807	14:41:35	252.520	31.591	1.8	54.000	8.48	1.09	0.83	0.16
060805A	04:47:49	220.928	12.580	2.7	5.300	0.72	0.20	0.34	0.11
060804	07:28:20	112.219	-27.225	1.9	17.800	5.98	0.99	1.13	0.29
060801	12:16:15	212.989	16.988	1.8	0.490	0.80	0.10	1.27	0.16
060729	19:12:29	95.287	-62.221	4.1	115.300	26.10	2.11	1.17	0.13
#	060728	22:24:31	16.644	-41.390	3.0	60	2.29	0.70	n/a	n/a
060719	06:50:37	18.420	-48.381	1.3	66.900	15.00	0.91	2.16	0.20
060717	09:07:39	170.857	28.982	2.6	3.000	0.65	0.16	0.54	0.11
060714	15:12:00	227.855	-6.544	1.5	115.000	28.30	1.67	1.28	0.13
060712	21:07:44	184.067	35.540	2.2	26.300	12.40	2.17	1.64	0.60
060708	12:15:59	7.831	-33.751	1.0	10.200	4.94	0.37	1.94	0.14
060707	21:30:19	357.069	-17.904	1.4	66.200	16.00	1.51	1.01	0.23
060614	12:43:49	320.877	-53.027	1.0	108.700	204.00	3.63	11.50	0.74
060607B	23:32:44	42.043	14.755	1.1	31.100	16.40	1.17	1.46	0.25
060607A	05:12:13	329.705	-22.496	1.0	102.200	25.50	1.12	1.40	0.13
060605	18:15:45	322.128	-6.071	1.9	79.100	6.97	0.90	0.46	0.12
060604	18:19:00	337.224	-10.945	3.7	95.000	4.02	1.06	0.34	0.13
060602A	21:32:12	149.579	0.314	1.6	75.000	16.10	1.57	0.56	0.20
060526	16:28:30	232.834	0.288	1.4	298.200	12.60	1.65	1.67	0.18
060522	02:11:19	322.954	2.895	1.5	71.100	11.40	1.11	0.55	0.15
060516	06:43:35	71.170	-18.126	2.4	161.600	10.20	1.58	0.34	0.23
060515	02:27:53	127.277	73.561	1.5	52.000	14.10	1.28	0.82	0.20
060512	23:13:21	195.748	41.209	1.9	8.500	2.32	0.40	0.88	0.20
060510B	08:22:15	239.259	78.591	1.9	275.200	40.70	1.76	0.57	0.11
060510A	07:43:28	95.860	-1.163	1.3	20.400	80.50	3.12	14.70	1.13
060507	01:53:12	89.911	75.250	1.1	183.300	44.50	2.30	1.27	0.22
#	060505	06:36:01	331.772	-27.815	3.9	~4	9.44	1.71	2.65	0.63
060505	06:36:01	331.772	-27.815	3.9	4.0	9.44	1.71	2.65	0.63
060502B	17:24:41	278.927	52.618	2.4	0.131	0.40	0.05	0.62	0.12
060502A	03:03:32	240.937	66.604	1.0	28.400	23.10	1.02	1.69	0.21
060501	08:14:59	328.374	44.002	1.3	21.900	12.20	1.03	1.98	0.26
060428B	08:54:39	235.369	62.016	1.6	57.900	8.23	0.81	0.66	0.15
060428A	03:22:48	123.540	-37.167	1.0	39.500	13.90	0.78	2.28	0.20
060427	11:43:11	124.177	62.657	2.1	64.000	4.99	0.88	0.27	0.13
060424	04:16:20	7.359	36.787	1.7	37.500	6.76	0.81	1.61	0.19
