GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
#	130925A	04:11:24	41.186	-26.146	1.0	n/a	410	10	7.3	0.6	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
#	130907A	21:41:13	215.898	45.602	1.0	>360	1400	10	25.6	0.5	1.238 (NOT: absorption)
130831A	13:04:16	358.635	29.431	1.0	32.5	65	0.2	13.6	0.6	0.4791 (Gemini-North: absorption)
130701A	04:17:43	357.224	36.100	1.0	4.38	44	1	17.1	0.7	1.155 (VLT: absorption)
130612A	03:22:22	259.771	16.729	2.0	4.0	2.3	0.5	1.7	0.3	2.006 (VLT: absorption)
130610A	03:12:13	224.414	28.187	2.4	46.4	25	1	1.7	0.2	2.092 (VLT: absorption)
130606A	21:04:39	249.390	29.796	2.0	276.58	29	2	2.6	0.2	5.910 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)
130604A	06:54:26	250.166	68.225	1.1	37.7	14	1	0.8	0.2	1.060 (Gemini-North: emission)
130603B	15:49:14	172.222	17.063	1.0	0.18	6.3	0.3	6.4	0.3	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
#	130518A	13:55:07.4	355.671	47.478	2.9	n/a	n/a	n/a	n/a	n/a	2.490 (GTC: absorption)|2.488 (Gemini-North: absorption)
130514A	07:13:41	296.278	-7.974	1.0	204	91	2	2.8	0.3	3.600 (MPG/ESO: photometric)
130511A	11:30:47	196.654	18.709	2.3	5.43	2.2	0.4	1.3	0.2	1.3033 (Gemini-North: absorption)
130505A	08:22:28	137.060	17.485	1.5	88	210	10	30.0	3.1	2.270 (Gemini-North: absorption)
130427B	13:20:41	314.900	-22.548	1.4	27.0	15	1	3.0	0.4	2.780 (VLT: tentative)
130427A	07:47:57	173.150	27.706	1.0	162.83	3100	30	331.0	4.6	0.340 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130420A	07:28:29	196.118	59.421	1.0	123.5	71	3	3.4	0.2	1.297 (GTC: absorption)
#	130418A	19:00:53	149.045	13.674	1.9	>300	18	2	0.6	0.2	1.218 (GTC)|1.217 (VLT: absorption)
130408A	21:51:38	134.398	-32.363	2.2	28	23	4	4.9	1.0	3.758 (VLT: absorption)|3.757 (Gemini-South)
130215A	01:31:30	43.486	13.387	1.5	65.7	54	5	2.5	0.7	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
130131B	19:10:08	173.957	15.033	1.7	4.30	3.4	0.4	1.0	0.2	2.539 (Keck I: emission, host)
#	121229A	05:00:21	190.095	-50.588	2.8	n/a	4.6	1.3	0.1	0.0	2.707 (VLT: absorption)
121211A	13:47:02	195.575	30.173	4.9	182	13	2.67	1.0	0.3	1.023 (Keck I)
121201A	12:25:42	13.473	-42.929	2.3	85	7.8	1.0	0.8	0.1	3.385 (VLT: emission  & absorption)
121128A	05:05:37	300.589	54.301	1.0	23.3	69	4	12.9	0.4	2.200 (Gemini North: absorption)
121027A	07:32:29	63.598	-58.839	1.0	62.6	20	1	1.3	0.2	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)
121024A	02:56:12	70.481	-12.255	1.7	69	11	1	1.3	0.2	2.298 (VLT: absorption)
120922A	22:30:28	234.758	-20.181	1.2	173	62	7	2.0	0.2	3.100 (MPG/ESO :photometric)
#	120909A	01:42:03	275.735	-59.432	1.2	n/a	68	2	1.8	0.3	3.930 (VLT: absorption)
120907A	00:24:23	74.736	-9.323	2.0	16.9	6.7	1.1	2.9	0.4	0.970 (OSIRIS/GTC: absorption)
120815A	02:13:58	273.976	-52.125	1.8	9.7	4.9	0.7	2.2	0.3	2.358 (VLT/X-shooter: absorption)
120811C	15:34:52	199.690	62.297	1.0	26.8	30	3	4.1	0.2	2.671 (GTC: absorption)|2.67 {NOT: absorption)
120805A	21:28:09	216.536	5.853	2.2	48.00	8.2	1.4	0.37	0.2	3.100 (arXiv:1503.05323v1)
120802A	08:00:51	44.833	13.762	1.1	50	19	3	3.0	0.2	3.796 (Gemini-North: absorption)
120729A	10:56:14	13.078	49.936	1.0	71.5	24	1	2.9	0.2	0.800 (Gemini-North: absorption)
120724A	06:39:02	245.193	3.535	2.1	72.8	6.8	1.1	0.6	0.2	1.480 (Gemini-North: absorption, tentative)
