| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error | redshift |     GBM flux | GBM flux_error |    Epeak | Epeak_error |      alpha | alpha_error |      beta |   beta_error |      Luminosity | Luminosity_error |
|    100615 |    100615A | GRB100615083 |            1.984 |            1.985 | 11.814 | 11.814 | -19.483 | -19.482 |    39.0 |  37.377 |         0.979 |    1.398 | 7.918945e-07 |    5.56133e-08 | 47.74328 |    6.945848 |  0.3107208 |    0.497294 | -2.123057 |     0.100839 |  0.856660439672 |   0.799719681929 |
|     91208 |    091208B | GRB091208410 |            9.832 |            9.833 |  1.961 |  1.959 |  16.881 |   16.89 |    14.9 |   12.48 |         5.018 |    1.063 |  2.69014e-06 |   1.072481e-07 | 145.5129 |    19.59596 | -0.9337836 |  0.08934812 | -2.198303 |     0.146239 |   1.57814963726 |    1.42533842662 |
|     91127 |     091127 | GRB091127976 |           23.429 |           23.429 |  2.439 |  2.439 | -18.948 | -18.952 |     7.1 |   8.701 |         0.571 |     0.49 | 5.560185e-06 |   8.512325e-08 | 55.45233 |    2.278017 | -0.5091187 |  0.08498511 | -2.273314 |    0.0313843 |  0.495541916079 |   0.435389552609 |
|     91020 |     091020 | GRB091020900 |           21.612 |           21.612 | 11.715 | 11.715 |  50.977 |   50.98 |    34.6 |  24.256 |         7.973 |     1.71 | 1.239016e-06 |   7.318899e-08 | 239.8271 |     142.685 | -0.9117794 |   0.2560934 | -1.674574 |   0.09403235 |   1.68900321311 |      1.557892299 |
|     90927 |     090927 | GRB090927422 |           10.121 |           10.121 | 22.929 |  22.93 | -70.973 |  -70.98 |     2.2 |   0.512 |         0.231 |     1.37 | 5.889473e-07 |   2.116526e-07 | 96.28263 |    15.01011 |    1.99968 |    1.559278 | -10.93263 |     2663.177 |  0.662585830596 |   0.810129096868 |
|     90926 |    090926B | GRB090926914 |            21.93 |           21.925 |  3.087 |  3.088 | -38.997 | -39.011 |   109.7 |  55.553 |         7.638 |     1.24 | 3.857081e-07 |   9.369987e-08 | 111.3605 |    14.26168 | -0.1207696 |    0.320688 | -6.251487 |     76.74973 |  0.343759674271 |   0.380278303653 |
|     90618 |     090618 | GRB090618353 |            8.475 |            8.474 | 19.601 | 19.599 |  78.352 |  78.358 |   113.2 | 112.386 |         1.086 |     0.54 | 1.340083e-05 |   2.525354e-07 | 425.8604 |    23.61092 | -0.9579971 |   0.0316006 | -2.873375 |    0.2556554 |    1.5109937196 |    1.33292053556 |
|     90516 |    090516A | GRB090516353 |            8.464 |            8.466 |  9.216 |  9.217 | -11.848 |  -11.85 |   210.0 | 123.074 |         2.896 |    4.109 | 5.275849e-07 |   6.284446e-08 | 69.68456 |    50.16023 | -0.5550286 |   0.9174827 | -1.793386 |    0.1538408 |   5.84287999796 |    5.74016674626 |
|     90424 |     090424 | GRB090424592 |           14.202 |           14.202 | 12.635 | 12.633 |  16.829 |    16.8 |    48.0 |  14.144 |         0.264 |    0.544 | 1.096896e-05 |    1.38453e-07 | 186.9056 |    5.694518 | -0.8428213 |  0.02381139 | -2.938811 |    0.1646469 |   1.28231386229 |    1.12321178581 |
|     90423 |     090423 | GRB090423330 |            7.922 |            7.924 |  9.926 |  9.913 |  18.165 |    18.1 |    10.3 |   7.168 |         2.415 |      8.0 | 1.519011e-07 |   1.009946e-07 | 80.20946 |    20.55983 | -0.6161758 |   0.5439942 | -7.860589 |     1923.028 |   20.9204193731 |    31.9700472216 |
|     90113 |     090113 | GRB090113778 |           18.678 |           18.678 |  2.138 |   2.14 |  33.436 |    33.4 |     9.1 |  17.408 |         3.238 |    1.749 | 4.720358e-07 |   8.275154e-08 | 202.1312 |    44.73004 | -0.6245563 |   0.2199011 | -4.721095 |     28.50507 |   1.01136167116 |    1.05041166098 |
