|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] |        Luminosity |  Luminosity_error |
| GRB131217108 | 0.981019711997 |  0.305346248392 |           223.5437 |                 113.5455 |  1.1867013779e+52 | 5.13104604714e+51 |
| GRB131126163 | 0.734017266673 | 0.0826166638559 |           451.0256 |                  71.4245 | 3.30186739119e+52 | 3.88832144322e+51 |
| GRB130919173 | 0.701016939969 |  0.123649620871 |            86.7071 |                 20.06369 | 4.37540630249e+51 | 7.46100989355e+50 |
| GRB130912358 |  2.18403162182 |  0.518767448423 |           921.1737 |                 399.8341 | 1.80010627481e+53 | 1.12798765544e+53 |
| GRB130804023 | 0.801017929979 | 0.0521780040608 |           562.3654 |                 49.07794 | 4.83413896595e+52 | 3.33635091294e+51 |
| GRB130701761 |  1.57102555306 |  0.207834797121 |           838.2651 |                 178.6469 | 1.21545708868e+53 | 3.02827026479e+52 |
| GRB130628860 |  1.38802374134 |  0.147288891878 |           944.1827 |                 156.8917 |  1.2867125542e+53 | 2.30797457389e+52 |
| GRB130622615 |  1.87302854289 |  0.526541504582 |           302.7916 |                 112.2189 | 3.97335476441e+52 | 2.08443540735e+52 |
| GRB130515056 |  1.10202090991 |  0.130916717414 |           516.3757 |                 83.93607 | 5.25543369739e+52 | 8.18787403567e+51 |
| GRB130504314 |  1.30602292953 |   0.10967391945 |           1397.064 |                 180.0561 | 1.97459603767e+53 | 2.64858809571e+52 |
| GRB130416770 |  1.54402528575 |  0.155604928728 |           1137.856 |                 177.2284 | 1.74579814665e+53 | 3.17606441151e+52 |
| GRB130307126 |  2.81403785888 |  0.628014389902 |           1629.743 |                  702.325 | 4.02505175596e+53 | 3.01427896537e+53 |
| GRB121127914 |  1.55502539465 |  0.199489993204 |           1014.578 |                 205.6001 | 1.52401218552e+53 | 3.60357848489e+52 |
| GRB121112806 |  2.59603570066 |  0.572147910698 |           783.0216 |                 276.0405 | 1.66522585585e+53 | 1.01002299766e+53 |
| GRB121012724 |  1.74602728557 |  0.339431788974 |           650.8483 |                 195.3806 | 9.31758811691e+52 | 3.57472880566e+52 |
| GRB121004211 |  1.44802433534 |  0.854506028398 |            74.2396 |                 11.65135 | 5.82122943717e+51 | 2.37713761628e+51 |
| GRB120830297 |  1.93802918639 |  0.289719663462 |           919.7049 |                 218.8685 | 1.59629686718e+53 | 5.20401908574e+52 |
| GRB120817168 |  1.17602164252 |  0.123878695152 |           1068.719 |                  183.417 |  1.3422190448e+53 | 2.20061308325e+52 |
| GRB120811014 |  1.15902147421 |  0.108329733888 |           815.2886 |                 105.8287 | 9.48678855722e+52 | 1.21527205374e+52 |
| GRB120629565 |  1.65602639456 |  0.681894703322 |           141.7829 |                 80.19988 | 9.83222597764e+51 | 7.07998708143e+51 |
| GRB120624309 |    2.032030117 |  0.130013248047 |           4100.756 |                 445.3157 | 8.80589973632e+53 |  1.3332621817e+53 |
| GRB120619884 |  9.71910621906 |    3.0033922716 |           2972.371 |                 2130.581 | 1.83046834232e+54 | 6.44883665986e+54 |
| GRB120612687 |  1.27602263253 |  0.429439075938 |           367.0857 |                  201.617 | 2.89369947082e+52 | 1.60217105274e+52 |
| GRB120608489 |  2.38903365134 |  0.650692953344 |           570.2699 |                  258.122 | 1.06202664153e+53 |  7.6488129836e+52 |
| GRB120603439 |   7.0990802808 |    1.5249034564 |           882.4928 |                 418.0294 | 5.03828450846e+53 | 8.90492152215e+53 |
| GRB120524134 |  0.90701897939 |  0.350607281345 |           89.98893 |                 18.26899 | 5.72445234029e+51 | 1.39225808052e+51 |
| GRB120519721 |  1.31502301863 |  0.318026694745 |           379.9594 |                 140.7736 | 3.91404645048e+52 | 1.51707442611e+52 |
| GRB120222021 |  0.90601896949 |  0.165899381447 |           174.2524 |                 33.97369 | 1.25061685691e+52 | 2.21607577599e+51 |
| GRB120101354 |  1.47002455315 |  0.413365185536 |           185.1624 |                 48.75237 | 1.82254596792e+52 | 6.39107212949e+51 |
| GRB111222619 | 0.868018593286 | 0.0870614547262 |             787.53 |                 121.2393 | 7.60411962522e+52 | 9.39151249265e+51 |
| GRB111207512 |  2.40403379984 |  0.823817848739 |           225.0837 |                 79.76977 | 3.37489073293e+52 | 2.25877068157e+52 |
| GRB111117510 |  1.16202150392 |  0.201460845702 |             284.65 |                 71.11769 | 2.40602100817e+52 | 5.88241900114e+51 |
| GRB111112908 |  1.72902711727 |  0.249491262501 |           896.5158 |                 213.2003 | 1.39993837709e+53 | 4.14657382605e+52 |
| GRB111103948 |   7.1060803501 |   2.82499203025 |           2335.557 |                 2125.407 | 1.22813398367e+54 | 4.13037923133e+54 |
| GRB111024896 |  1.41102396904 |  0.596876609384 |           232.1194 |                 161.5316 | 1.68220433268e+52 | 1.26146594428e+52 |
| GRB111022854 |  2.38103357214 |   1.04058890678 |           471.1874 |                 352.0381 |  7.7053971731e+52 | 9.06000312613e+52 |
| GRB111011094 | 0.915019058591 |  0.178108617086 |           202.6508 |                 56.68982 | 1.36591598564e+52 | 3.21427924027e+51 |
| GRB111001804 |  1.43302418684 |  0.607096477865 |           170.6308 |                 116.4803 | 1.19772100506e+52 | 8.95505466713e+51 |
| GRB110916016 |  2.65103624516 |   1.04510643538 |           263.6794 |                 134.0241 | 4.46725289365e+52 | 4.27209203722e+52 |
| GRB110801335 | 0.541015355954 |  0.246873637692 |           54.93985 |                 38.26357 |  2.0214918594e+51 | 8.79754698938e+50 |
| GRB110728056 |  3.21804185852 |  0.979025928462 |           786.0388 |                 431.1666 | 2.02270230348e+53 | 2.19564796688e+53 |
| GRB110717180 | 0.870018613086 |  0.175644829049 |           260.9849 |                 82.03037 |  1.6790042974e+52 |   4.225541546e+51 |
| GRB110705151 |   1.0040199397 | 0.0832980983843 |           1007.631 |                 127.5936 | 1.10164732694e+53 | 1.22411922847e+52 |
| GRB110605780 |   2.0040298398 |  0.761673991726 |           253.0436 |                  133.645 | 3.46741044251e+52 | 2.68424242681e+52 |
| GRB110529034 |  2.19703175052 |  0.281511770912 |            2314.86 |                 548.3343 | 4.93953707023e+53 | 1.69158779252e+53 |
| GRB110517453 |  2.44503420574 |  0.802743012656 |           389.5851 |                 188.3293 | 6.76879128471e+52 | 5.50740129888e+52 |
| GRB110509475 | 0.560015544055 |  0.130812843764 |           60.74353 |                 20.53071 | 2.11041263444e+51 | 4.57846037007e+50 |
| GRB110424758 |  1.29102278103 |  0.680059147812 |           166.5335 |                 152.9204 | 9.25083963229e+51 | 8.48968533364e+51 |
| GRB110420946 |  1.39102377104 |   0.30990284602 |           345.1889 |                 104.8302 | 3.74332853069e+52 | 1.27850523402e+52 |
| GRB110409179 |  1.15102139501 |  0.239094542231 |           265.4813 |                 81.76193 | 2.10900142496e+52 | 6.26819089193e+51 |
| GRB110227009 |  2.13503113671 |  0.566590266557 |           148.3173 |                 44.70538 | 1.83369781798e+52 | 9.13734005868e+51 |
| GRB110213876 |   2.0000298002 |   1.07236945973 |           261.5485 |                 246.9086 | 2.23047272785e+52 | 2.87098760714e+52 |
| GRB110212550 |  1.13602124651 |  0.190134410262 |           300.5462 |                  72.1643 | 2.69260332954e+52 | 6.24035043447e+51 |
| GRB101216721 |   1.0080199793 | 0.0488161976074 |           169.6077 |                 10.38292 | 1.30079365899e+52 | 7.36471292601e+50 |
| GRB101208203 | 0.794017860679 |  0.265465289181 |           67.80181 |                 31.13188 | 2.81201935199e+51 |   1.009718281e+51 |
| GRB101204343 |  1.61202595896 |  0.532778162762 |           365.3169 |                 204.9543 | 3.52926401594e+52 | 2.32485735477e+52 |
| GRB101129726 |  2.94603916569 |    0.7825011742 |           1266.116 |                 650.8138 | 3.39211188728e+53 |  3.1432646782e+53 |
| GRB101129652 |  2.48203457205 |  0.402783627251 |           1261.806 |                 346.7715 | 2.87438144389e+53 | 1.28844574332e+53 |
| GRB101104810 |  2.33903315633 |  0.754135962373 |           648.6932 |                 346.7724 |  1.0865383364e+53 | 9.09481825548e+52 |
| GRB101031625 |  1.60202585996 |  0.429184216875 |           340.0269 |                 126.4178 | 4.11704576259e+52 | 1.89550451341e+52 |
| GRB101027230 |   2.0190299883 |  0.847229842132 |           257.9423 |                 175.1204 |  3.1923953373e+52 | 3.04873837039e+52 |
| GRB101026034 | 0.753017454775 |  0.231002465205 |           123.3296 |                 60.93035 | 5.71546334936e+51 | 2.06708391529e+51 |
| GRB100827455 |  1.38902375124 |  0.183982550544 |           814.1667 |                 169.3599 | 9.93603992775e+52 | 2.23045137086e+52 |
| GRB100811108 |  1.46202447394 |  0.176967043286 |           998.6711 |                 186.9153 | 1.37824914413e+53 | 2.89776464513e+52 |
| GRB100805300 | 0.883018741787 |  0.163052686652 |           205.7558 |                 46.49693 | 1.46221786852e+52 | 2.83719259292e+51 |
| GRB100629801 |   1.0430203258 |  0.179569421224 |           232.0026 |                 49.90794 | 1.91449256115e+52 | 3.90713152265e+51 |
| GRB100625773 | 0.958019484295 |   0.20083137171 |           328.4625 |                 101.6235 | 2.44699661676e+52 | 6.50694614681e+51 |
| GRB100616773 |  1.54802532535 |  0.449475261547 |           212.6343 |                 65.46827 |  2.2264491381e+52 | 9.05724673373e+51 |
| GRB100612545 |  1.30502291963 |  0.281963041733 |            505.342 |                 169.7767 |  4.5828948612e+52 | 1.59597713129e+52 |
| GRB100525744 |   1.0480203753 |  0.436318305606 |           154.8935 |                 106.8152 | 8.73875170571e+51 | 5.32566447191e+51 |
| GRB100516396 |  1.85702838448 |  0.502239204242 |           168.1065 |                 43.80614 |  1.5834811851e+52 | 6.50819251377e+51 |
| GRB100417166 |  2.14203120601 |  0.692445497311 |           300.4486 |                  142.418 | 4.51952628231e+52 | 3.25075601417e+52 |
| GRB100328141 |  1.41402399874 |  0.237056237805 |           491.7723 |                 111.0904 | 5.84669292726e+52 | 1.50799337779e+52 |
| GRB100301068 |  1.92902909729 |  0.470742131399 |           544.4701 |                 209.1449 | 8.41504561683e+52 | 4.42712884665e+52 |
| GRB100216422 |  2.17303151292 |  0.910805497055 |           509.7542 |                 382.3851 | 5.25037142906e+52 | 5.69627682702e+52 |
| GRB100208386 |  2.66303636396 |   1.01686269062 |           671.4008 |                  449.073 | 1.04239668656e+53 | 1.19137522608e+53 |
| GRB100206563 |  1.07602065251 |  0.147839773719 |           566.0923 |                 117.2836 | 5.26573934367e+52 | 1.00328134856e+52 |
| GRB100107074 | 0.878018692287 |  0.307712801352 |           127.8093 |                 70.96127 | 5.62046418891e+51 | 2.50213064821e+51 |
| GRB091223191 |   3.0400400963 |             0.0 |            472.271 |                      0.0 |   1.034281697e+53 |               0.0 |
