| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error |    Epeak | Epeak_error |       alpha | alpha_error |      beta |   beta_error |
|    150323 |    150323C | GRB150323712 |           17.089 |           17.086 | 12.842 | 12.841 |  50.165 |  50.198 |   159.4 |  43.264 |         2.429 | 1.250033e-07 |   3.080489e-08 | 103.9627 |    43.02244 |   -0.966651 |   0.4951303 | -17.82894 |  665402600.0 |
|    150314 |    150314A | GRB150314205 |            4.921 |            4.914 |  8.444 |  8.445 |  63.839 |  63.834 |   14.79 |  10.688 |         0.143 | 1.594302e-05 |   1.957966e-07 | 298.0226 |    9.404712 |  -0.4062712 |  0.02975524 |  -2.54075 |   0.08322588 |
|    150309 |    150309A | GRB150309958 |           23.052 |           22.997 | 18.467 | 18.473 |  86.417 |  86.429 |   242.0 |  52.481 |         1.086 | 2.644921e-06 |   9.955728e-08 | 189.7115 |    16.79407 |  -0.4075789 |  0.08638925 | -2.291929 |    0.1643403 |
|    150301 |    150301B | GRB150301818 |           19.634 |           19.635 |  5.944 |  5.944 | -57.969 | -57.977 |   12.44 |  13.312 |         1.557 | 5.098332e-07 |   6.204709e-08 | 173.9901 |    37.03205 |  -0.9519986 |   0.1700398 | -8.472443 |     5166.644 |
|    150204 |    150204A | GRB150204272 |            6.519 |            6.519 | 10.683 | 10.683 | -64.043 | -64.043 |    12.0 |  11.008 |         1.056 | 2.529986e-07 |   5.769532e-08 | 91.47787 |    31.97555 |  -0.8739799 |   0.4243787 | -2.648369 |     1.082613 |
|    150203 |    150203A | GRB150203173 |            4.152 |            4.153 |   6.56 |   6.56 |   6.952 |   6.953 |    25.8 |    25.6 |         3.238 | 8.053539e-08 |   6.439845e-08 |  46.9951 |    17.72293 |  -0.9597585 |   0.9401607 | -8.071899 |      3522.05 |
|    150110 |    150110B | GRB150110923 |           22.142 |           22.142 | 19.292 | 19.291 |  32.529 |  32.522 |    10.6 |    2.56 |         0.832 | 2.229647e-07 |   5.927318e-08 | 113.4483 |    44.71243 |   -0.695367 |   0.5019653 | -2.662168 |      1.40649 |
|    141225 |    141225A | GRB141225959 |           23.019 |           23.021 |   9.25 |   9.25 |  33.774 |  33.795 |   40.24 |   56.32 |         4.891 | 5.388171e-07 |    6.85633e-08 | 144.9585 |    46.55534 |    1.020943 |    1.115846 | -1.949072 |    0.2712374 |
|    141221 |    141221A | GRB141221338 |            8.119 |             8.12 | 13.219 | 13.219 |   8.197 |   8.205 |    36.9 |  23.808 |         1.717 | 7.904256e-07 |    1.15847e-07 | 321.4502 |    113.6674 |   -1.075274 |   0.1512575 | -6.315468 |     663.1096 |
|    141220 |    141220A | GRB141220252 |            6.048 |            6.048 | 13.004 | 13.004 |  32.146 |  32.134 |    7.21 |   7.616 |         0.923 | 2.117483e-06 |   8.305089e-08 | 214.7644 |    13.25492 |  -0.5247201 |   0.0726953 | -6.884309 |     114.6007 |
