|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 150302A |  3.67504638286 |   0.104738318576 |      121.944964897 |                      0.0 | 2.39620940469e+52 | 6.59775713267e+50 |
| 150222A |  2.17203150302 |  0.0234380032126 |      404.365661885 |                      0.0 | 6.48906537738e+52 | 5.89273824475e+50 |
| 150213B |  1.88602867159 |    0.12576186316 |       99.826439231 |                      0.0 | 1.03515738711e+52 | 5.54378769359e+50 |
| 150212A | 0.865018563586 |  0.0229354285668 |      45.6073010158 |                      0.0 |  2.3105633034e+51 | 3.49215454542e+49 |
| 150202A |  4.18705145171 |  0.0842916355999 |      314.488930043 |                      0.0 | 8.72108605318e+52 | 1.74175224824e+51 |
| 150120B |  2.74403716587 |   0.066160840523 |       190.49532783 |                      0.0 | 3.15483880015e+52 | 6.85156715946e+50 |
| 150103A |  2.89703868059 |   0.161010573234 |      101.526593386 |                      0.0 | 1.52922154268e+52 | 7.76500911867e+50 |
| 141212B |  1.38802374134 |  0.0227075848256 |      173.517724146 |                      0.0 | 1.61875715954e+52 |  1.8917593545e+50 |
| 141130A |  1.89602877059 |  0.0577795345681 |      107.999945896 |                      0.0 | 1.14550754398e+52 | 2.80880121073e+50 |
| 141109B |  10.1791107731 |  0.0745711554398 |      647.525035276 |                      0.0 | 5.44409905937e+53 | 4.46315032303e+51 |
| 141031B |  3.88604847178 |    0.14021461407 |      105.172336092 |                      0.0 | 2.10918922016e+52 | 7.43880091503e+50 |
| 141020A |  2.16303141391 |   0.104741940704 |      85.3387793865 |                      0.0 | 9.55566495498e+51 | 3.88892804854e+50 |
| 141017A |  1.33002316713 |  0.0128948149851 |      252.097702167 |                      0.0 | 2.48496392062e+52 | 1.69015621419e+50 |
| 141015A |  2.79203764108 |  0.0797612858325 |      95.9409204906 |                      0.0 |  1.3795319659e+52 | 3.56617916266e+50 |
| 140927A |  1.47402459275 |  0.0678551214365 |      57.7829137955 |                      0.0 |  4.3796599169e+51 | 1.47628732549e+50 |
| 140916A |  5.17606124291 |   0.127411822266 |      542.775140747 |                      0.0 | 2.11371322051e+53 | 5.35915206039e+51 |
| 140824A |   5.0400598965 |  0.0693047919615 |      487.602958585 |                      0.0 | 1.80266415486e+53 | 2.54207713778e+51 |
| 140730A |  1.60902592926 |  0.0640066734854 |       41.070449631 |                      0.0 | 3.07187974279e+51 | 9.26196114101e+49 |
| 140719B |  2.48403459185 |   0.110094301885 |       105.50069395 |                      0.0 | 1.39680078673e+52 |  5.4246127132e+50 |
| 140719A |  13.1721404041 |   0.116011817694 |      596.636724046 |                      0.0 | 6.59059383142e+53 | 6.63045322453e+51 |
| 140628A | 0.748017405274 |  0.0140214319105 |      49.4424867686 |                      0.0 | 2.35544039619e+51 | 2.32204491819e+49 |
| 140626A |  1.73902721627 |  0.0475475429277 |      60.9545447473 |                      0.0 |  5.2946258399e+51 | 1.12958492886e+50 |
| 140619A |  1.49902484025 |  0.0133991262556 |      223.884756797 |                      0.0 | 2.34064359938e+52 | 1.54238601803e+50 |
| 140614B |  2.91003880929 |   0.161183398212 |      102.202239749 |                      0.0 | 1.54848211149e+52 | 7.84507888993e+50 |
| 140607A |  4.57605530285 |   0.186737631351 |      331.488341202 |                      0.0 | 1.01694312318e+53 | 4.18555757298e+51 |
| 140529A | 0.433014286743 | 0.00781261692815 |      63.7309578073 |                      0.0 |  2.5198019215e+51 | 1.68835705045e+49 |
| 140509A |  2.41603391864 |  0.0954475481429 |       198.09511118 |                      0.0 | 2.95759184541e+52 | 1.01562346316e+51 |
| 140413A |  3.40104367024 |  0.0902529395624 |      449.266220223 |                      0.0 | 1.10497848962e+53 |  2.7849114106e+51 |
| 140412A |  4.43805393664 |  0.0765259746645 |       372.10426322 |                      0.0 | 1.13642912787e+53 | 1.96543913089e+51 |
| 140408A |  10.0971099613 |  0.0750713787168 |      1559.86689865 |                      0.0 | 1.58975571063e+54 | 1.32174226959e+52 |
| 140331A |  8.48809403204 |   0.142900998334 |      381.860476982 |                      0.0 | 2.32554334604e+53 | 4.30459804797e+51 |
